Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNTT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,Sili
,,,sample,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005653,15-10-2018 13:21,NOORDWK2,Authorised,#N/B,16.11,0,0,0,9.15,-350,0,0,-999,#N/B,30.1,6.37,77.75,9.5,235,1009.8,16855.8594,2336.9373,0.0051,0.1021,0.0292,11.8,1.5905,0.1888
2018005654,15-11-2018 8:35,NOORDWK2,Authorised,-999,11.92,0,0,0,8.06,-350,0,0,-999,#N/B,30.72,8.12,92.5,6.2,141,1023,12984.2969,2522.8293,0.0049,0.1367,0.0829,20.1,1.1422,0.3078
2018005655,12-12-2018 14:45,NOORDWK2,Available,#N/B,8.64,0,0,0,7.9,-350,0,0,1.82726,#N/B,30.83,8.42,88.23,13.2,123,1024.7,17403.4922,2464.5984,0.0078,0.232,0.089,21.3,1.201,0.3749
2018005656,22-1-2018 14:04,NOORDWK10,Authorised,#N/B,5.89,0,0,0,7.94,-350,0,0,-999,#N/B,28.56,9.34,90.51,8.3,297,1007.6,16231.9795,2280.7188,0.0085,0.7298,0.0657,26.1,-999,0.8608
2018005657,14-2-2018 13:10,NOORDWK10,Authorised,#N/B,5.48,0,0,0,8.07,-350,0,0,0.5908,#N/B,29.32,9.39,90.52,13.6,180,1012,17146.4082,2354.4238,0.0103,0.6074,0.037,24.1,1.3695,0.6267
2018005658,14-3-2018 9:44,NOORDWK10,Authorised,#N/B,4.31,0,0,0,7.413,-350,0,0,0.9489,#N/B,30.58,8.47,97.99,4.4,224,1010.7,16986.4258,2532.8755,0.0057,0.3413,0.0254,1.9,1.0953,0.1464
2018005659,16-4-2018 14:34,NOORDWK10,Authorised,#N/B,7.57,0,0,0,8.15,-350,0,0,-999,#N/B,30.32,9.79,105.5,9.1,273,1015.4,18292.7246,2445.4995,0.0042,0.4112,0.0114,5.5,1.2368,0.0997
2018005660,14-5-2018 13:42,NOORDWK10,Authorised,#N/B,11.83,-999,-999,-999,8.27,-350,-999,-999,-999,#N/B,30.71,9.46,106.51,4,360,1026,17621.6563,2539.7024,0.0039,0.138,0.0137,4,1.4753,0.0807
2018005661,12-6-2018 1:21,NOORDWK10,Authorised,#N/B,15.59,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,31.08,8.67,105.54,7.9,60,1012,18923.1621,2456.4065,0.0019,0.0016,0.0189,3.8,2.0252,0.0128
2018005662,16-7-2018 14:32,NOORDWK10,Authorised,#N/B,18.87,0,0,0,8.21,-350,0,0,0.5161,#N/B,31.02,5.01,64.84,1,2,1012.3,17361.9414,2440.0701,0.0018,0.005,0.0116,1.6,1.8032,0.0069
